Label,Number,Type
ISIS Intelligence Scandal,1,1
Michele Flournay,2,1
Center for a New American Security,3,1
John Koskinen,4,1
Comey,5,1
Mueller,6,1
Rosenstein,7,1
Obama,8,1
Clinton Foundation,9,1
Fusion GPS,10,1
Mueller,11,1
Tarmac Meeting (with Loretta Lynch and Clinton),12,1
ROSATOM,13,1
Obama,14,1
James Clapper,15,2
Executive Privlege,16,2
David Petraeus,17,2
Susan Rice,18,2
Obama State Department,19,2
Lois Lerner,20,2
Obama FBI,21,2
Bill Clinton,22,2
Hillary Clinton,23,2
DNC,24,2
Comey,25,2
Huma Abedin,26,2
Cheryl Mills,27,2
Ben Rhodes,28,2
Heather Samuelson,29,2
Susan Rice,30,2
TENEX,31,2
Obama State Department,32,2
Benghazi,33,3
Fast & Furious,34,3
IRS Targeting Scandal,35,3
Vadim Mikerin,36,3
Hillary Clinton Secret Server,37,3
Hillary Clinton Emails,38,3
Unmasking Scandal,39,3
Obama DoD,40,4
Eric Holder AG,41,5
Loretta Lynch AG,42,5
URANIUM ONE,43,6
RUSSIA,44,6
OBAMA DOJ,45,7
